edition,round,score,team1,team2,venue,year
1978-ARGENTINA,PRELIMINARY-N/C.America,1-0 (1-0),Haiti (Haïti),Surinam (Suriname),México D.F.,1977
1978-ARGENTINA,PRELIMINARY-N/C.America,2-2 (0-1),Guatemala,El Salvador,México D.F.,1977
1978-ARGENTINA,PRELIMINARY-As./O.,0-0 (0-0),South Korea (한국),Australia,Seoul.,1977
1978-ARGENTINA,PRELIMINARY-Europe,1-0 (1-0),Netherlands (Nederland),Belgium (België),Amsterdam.,1977
1978-ARGENTINA,PRELIMINARY-Europe,2-0 (0-0),Spain (España),Romania (România),Madrid.,1977
1978-ARGENTINA,PRELIMINARY-As./O.,1-0 (0-0),Iran (ایران),Kuwait (الكويت),Tehran.,1977
1978-ARGENTINA,PRELIMINARY-Europe,1-1 (1-0),Poland (Polska),Portugal,Chorzów.,1977
1978-ARGENTINA,PRELIMINARY-Europe,9-0 (3-0),GDR (DDR / Ostdeutschland),Malta,Potsdam.,1977
1978-ARGENTINA,PRELIMINARY-Europe,6-0 (5-0),Hungary (Magyarország),Bolivia,Budapest.,1977
1978-ARGENTINA,PRELIMINARY-Europe,0-1 (0-0),Turkey (Türkiye),Austria (Österreich),İzmir.,1977
1978-ARGENTINA,PRELIMINARY-Europe,1-0 (1-0),Switzerland (Schweiz / Suisse),Norway (Norge),Bern.,1977
1978-ARGENTINA,PRELIMINARY-As./O.,2-5 (0-3),Hong Kong (香港),Australia,Hong Kong.,1977
1978-ARGENTINA,PRELIMINARY-As./O.,2-2 (0-1),Kuwait (الكويت),South Korea (한국),Kuwait.,1977
1978-ARGENTINA,PRELIMINARY-As./O.,2-2 (0-1),Iran (ایران),South Korea (한국),Tehran.,1977
1978-ARGENTINA,PRELIMINARY-Africa,0-1 (0-0),Nigeria,Tunisia (تونس),Lagos.,1977
1978-ARGENTINA,PRELIMINARY-As./O.,4-0 (3-0),Kuwait (الكويت),Hong Kong (香港),Kuwait.,1977
1978-ARGENTINA,PRELIMINARY-Europe,4-6 (3-2),Romania (România),Yugoslavia (Југославија),Bucureşti.,1977
1978-ARGENTINA,PRELIMINARY-Europe,4-0 (2-0),Portugal,Cyprus (Κύπρος),Faro.,1977
1978-ARGENTINA,PRELIMINARY-Europe,2-0 (1-0),England,Italy (Italia),London.,1977
1978-ARGENTINA,PRELIMINARY-Europe,1-2 (0-1),Turkey (Türkiye),GDR (DDR / Ostdeutschland),İzmir.,1977
1978-ARGENTINA,PRELIMINARY-Europe,3-0 (1-0),Northern Ireland (Ulster),Belgium (België),Belfast.,1977
1978-ARGENTINA,PRELIMINARY-Europe,3-1 (1-0),France,Bulgaria (България),Paris.,1977
1978-ARGENTINA,PRELIMINARY-Europe,1-0 (1-0),Czechoslovakia (Československo),Wales (Cymru),Praha.,1977
1978-ARGENTINA,PRELIMINARY-As./O.,3-0 (3-0),Iran (ایران),Hong Kong (香港),Tehran.,1977
1978-ARGENTINA,PRELIMINARY-As./O.,1-0 (0-0),Kuwait (الكويت),Australia,Kuwait.,1977
1978-ARGENTINA,PRELIMINARY-Africa,3-2 (1-0),Egypt (مصر),Tunisia (تونس),Cairo.,1977
1978-ARGENTINA,PRELIMINARY-As./O.,1-0 (0-0),Iran (ایران),Australia,Tehran.,1977
1978-ARGENTINA,PRELIMINARY-Europe,0-3 (0-2),Malta,Turkey (Türkiye),Valletta.,1977
1978-ARGENTINA,PRELIMINARY-Europe,0-1 (0-0),Yugoslavia (Југославија),Spain (España),Beograd.,1977
1978-ARGENTINA,PRELIMINARY-Europe,2-3 (1-2),Bolivia,Hungary (Magyarország),La_Paz.,1977
1978-ARGENTINA,PRELIMINARY-Europe,3-0 (2-0),Italy (Italia),Luxembourg (Lëtzebuerg),Roma.,1977
1978-ARGENTINA,PRELIMINARY-As./O.,1-2 (1-0),Kuwait (الكويت),Iran (ایران),Kuwait.,1977
1978-ARGENTINA,PRELIMINARY-As./O.,5-2 (2-0),South Korea (한국),Hong Kong (香港),Seoul.,1977
1978-ARGENTINA,PRELIMINARY-Africa,4-1 (2-0),Tunisia (تونس),Egypt (مصر),Tunis.,1977
1978-ARGENTINA,GROUP_STAGE,0-0 (0-0),FRG (BRD / Westdeutschland),Poland (Polska),Buenos Aires.,1978
1978-ARGENTINA,GROUP_STAGE,2-1 (1-1),Italy (Italia),France,Mar_del_Plata.,1978
1978-ARGENTINA,GROUP_STAGE,3-1 (0-1),Tunisia (تونس),Mexico (México),Rosario.,1978
1978-ARGENTINA,GROUP_STAGE,2-1 (1-1),Argentina,Hungary (Magyarország),Buenos Aires.,1978
1978-ARGENTINA,GROUP_STAGE,2-1 (1-1),Austria (Österreich),Spain (España),Buenos Aires.,1978
1978-ARGENTINA,GROUP_STAGE,1-1 (1-1),Sweden (Sverige),Brazil (Brasil),Mar_del_Plata.,1978
1978-ARGENTINA,GROUP_STAGE,3-1 (1-1),Peru (Perú),Scotland,Córdoba.,1978
1978-ARGENTINA,GROUP_STAGE,3-0 (1-0),Netherlands (Nederland),Iran (ایران),Mendoza.,1978
1978-ARGENTINA,GROUP_STAGE,3-1 (2-0),Italy (Italia),Hungary (Magyarország),Mar_del_Plata.,1978
1978-ARGENTINA,GROUP_STAGE,6-0 (4-0),FRG (BRD / Westdeutschland),Mexico (México),Córdoba.,1978
1978-ARGENTINA,GROUP_STAGE,1-0 (1-0),Poland (Polska),Tunisia (تونس),Rosario.,1978
1978-ARGENTINA,GROUP_STAGE,2-1 (1-0),Argentina,France,Buenos Aires.,1978
1978-ARGENTINA,GROUP_STAGE,1-0 (1-0),Austria (Österreich),Sweden (Sverige),Buenos Aires.,1978
1978-ARGENTINA,GROUP_STAGE,0-0 (0-0),Brazil (Brasil),Spain (España),Mar_del_Plata.,1978
1978-ARGENTINA,GROUP_STAGE,1-1 (1-0),Scotland,Iran (ایران),Córdoba.,1978
1978-ARGENTINA,GROUP_STAGE,0-0 (0-0),Netherlands (Nederland),Peru (Perú),Mendoza.,1978
1978-ARGENTINA,GROUP_STAGE,3-1 (3-1),France,Hungary (Magyarország),Mar_del_Plata.,1978
1978-ARGENTINA,GROUP_STAGE,0-0 (0-0),FRG (BRD / Westdeutschland),Tunisia (تونس),Córdoba.,1978
1978-ARGENTINA,GROUP_STAGE,3-1 (1-0),Poland (Polska),Mexico (México),Rosario.,1978
1978-ARGENTINA,GROUP_STAGE,1-0 (0-0),Italy (Italia),Argentina,Buenos Aires.,1978
1978-ARGENTINA,GROUP_STAGE,1-0 (0-0),Spain (España),Sweden (Sverige),Buenos Aires.,1978
1978-ARGENTINA,GROUP_STAGE,1-0 (1-0),Brazil (Brasil),Austria (Österreich),Mar_del_Plata.,1978
1978-ARGENTINA,GROUP_STAGE,4-1 (3-1),Peru (Perú),Iran (ایران),Córdoba.,1978
1978-ARGENTINA,GROUP_STAGE,3-2 (1-1),Scotland,Netherlands (Nederland),Mendoza.,1978
1978-ARGENTINA,SEMIFINAL_STAGE,5-1 (3-0),Netherlands (Nederland),Austria (Österreich),Córdoba.,1978
1978-ARGENTINA,SEMIFINAL_STAGE,0-0 (0-0),FRG (BRD / Westdeutschland),Italy (Italia),Buenos Aires.,1978
1978-ARGENTINA,SEMIFINAL_STAGE,3-0 (2-0),Brazil (Brasil),Peru (Perú),Mendoza.,1978
1978-ARGENTINA,SEMIFINAL_STAGE,2-0 (1-0),Argentina,Poland (Polska),Rosario.,1978
1978-ARGENTINA,SEMIFINAL_STAGE,1-0 (0-0),Poland (Polska),Peru (Perú),Mendoza.,1978
1978-ARGENTINA,SEMIFINAL_STAGE,2-2 (1-1),FRG (BRD / Westdeutschland),Netherlands (Nederland),Córdoba.,1978
1978-ARGENTINA,SEMIFINAL_STAGE,1-0 (1-0),Italy (Italia),Austria (Österreich),Buenos Aires.,1978
1978-ARGENTINA,SEMIFINAL_STAGE,0-0 (0-0),Argentina,Brazil (Brasil),Rosario.,1978
1978-ARGENTINA,SEMIFINAL_STAGE,3-2 (0-1),Austria (Österreich),FRG (BRD / Westdeutschland),Córdoba.,1978
1978-ARGENTINA,SEMIFINAL_STAGE,2-1 (0-1),Netherlands (Nederland),Italy (Italia),Buenos Aires.,1978
1978-ARGENTINA,SEMIFINAL_STAGE,3-1 (1-1),Brazil (Brasil),Poland (Polska),Mendoza.,1978
1978-ARGENTINA,SEMIFINAL_STAGE,6-0 (2-0),Argentina,Peru (Perú),Rosario.,1978
1978-ARGENTINA,PLACES_3&4,2-1 (0-1),Brazil (Brasil),Italy (Italia),Buenos Aires.,1978
1978-ARGENTINA,_FINAL,3-1 (1-0) (a.e.t.),Argentina,Netherlands (Nederland),Buenos Aires.,1978
1982-SPAIN,PRELIMINARY-Europe,2-3 (1-3),Cyprus (Κύπρος),Ireland (Éire),Levkosía.,1980
1982-SPAIN,PRELIMINARY-Europe,0-0 (0-0),Israel (ישראל),Northern Ireland (Ulster),Tel Aviv.,1980
1982-SPAIN,PRELIMINARY-N/C.America,5-2 (2-2),Guyana,Grenada,Georgetown.,1980
1982-SPAIN,PRELIMINARY-N/C.America,2-3 (0-2),Grenada,Guyana,St._Georges.,1980
1982-SPAIN,PRELIMINARY-Africa,2-1 (1-0),Libya (ليبيا),Gambia,Tripoli.,1980
1982-SPAIN,PRELIMINARY-Africa,0-0 (0-0),Ethiopia (ኢትዮጵያ),Zambia,Addis Ababa.,1980
1982-SPAIN,PRELIMINARY-Africa,2-2 (0-0),Sierra Leone,Algeria (الجزائر),Freetown.,1980
1982-SPAIN,PRELIMINARY-Africa,4-0 (2-0),Zambia,Ethiopia (ኢትዮጵያ),Ndola.,1980
1982-SPAIN,PRELIMINARY-Europe,0-4 (0-1),Iceland (Ísland),Wales (Cymru),Reykjavík.,1980
1982-SPAIN,PRELIMINARY-Europe,0-2 (0-1),Finland (Suomi),Bulgaria (България),Helsinki.,1980
1982-SPAIN,PRELIMINARY-Africa,3-1 (1-0),Algeria (الجزائر),Sierra Leone,Oran.,1980
1982-SPAIN,PRELIMINARY-Europe,1-1 (1-0),Sweden (Sverige),Israel (ישראל),Stockholm.,1980
1982-SPAIN,PRELIMINARY-Africa,0-1 (0-1),Senegal (Sénégal),Morocco (المغرب),Dakar.,1980
1982-SPAIN,PRELIMINARY-Africa,3-1 (1-1),Guinea (Guinée),Lesotho,Conakry.,1980
1982-SPAIN,PRELIMINARY-Africa,2-0 (1-0),Tunisia (تونس),Nigeria,Tunis.,1980
1982-SPAIN,PRELIMINARY-Africa,3-0 (1-0),Cameroon (Cameroun),Malawi (Malaŵi),Yaoundé.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-2 (0-1),Panama (Panamá),Guatemala,Panamá.,1980
1982-SPAIN,PRELIMINARY-Africa,3-1 (1-1),Kenya,Tanzania,Nairobi.,1980
1982-SPAIN,PRELIMINARY-Africa,0-0 (0-0),Gambia,Libya (ليبيا),Banjul.,1980
1982-SPAIN,PRELIMINARY-Africa,0-0 (0-0),Morocco (المغرب),Senegal (Sénégal),Casablanca.,1980
1982-SPAIN,PRELIMINARY-Africa,1-1 (0-1),Lesotho,Guinea (Guinée),Maseru.,1980
1982-SPAIN,PRELIMINARY-Africa,2-0 (1-0) (p.k.),Nigeria,Tunisia (تونس),Lagos.,1980
1982-SPAIN,PRELIMINARY-Africa,5-2 (1-1),Zaire (Zaïre),Mozambique (Moçambique),Kinshasa.,1980
1982-SPAIN,PRELIMINARY-Africa,0-0 (0-0),Niger,Somalia (Soomaaliya),Niamey.,1980
1982-SPAIN,PRELIMINARY-Africa,5-0 (1-0),Tanzania,Kenya,Dar es Salaam.,1980
1982-SPAIN,PRELIMINARY-Africa,1-1 (0-0),Malawi (Malaŵi),Cameroon (Cameroun),Blantyre.,1980
1982-SPAIN,PRELIMINARY-Africa,1-2 (0-2),Mozambique (Moçambique),Zaire (Zaïre),Maputo.,1980
1982-SPAIN,PRELIMINARY-Africa,1-1 (0-1),Somalia (Soomaaliya),Niger,Mogadisho.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-2 (0-1),Panama (Panamá),Honduras,Panamá.,1980
1982-SPAIN,PRELIMINARY-N/C.America,2-0 (0-0),Haiti (Haïti),Trinidad and Tobago,Port-au-Prince.,1980
1982-SPAIN,PRELIMINARY-N/C.America,1-1 (1-0),Panama (Panamá),Costa Rica,Panamá.,1980
1982-SPAIN,PRELIMINARY-N/C.America,3-0 (0-0),Cuba,Surinam (Suriname),La_Habana.,1980
1982-SPAIN,PRELIMINARY-N/C.America,1-0 (0-0),Trinidad and Tobago,Haiti (Haïti),San_Fernando.,1980
1982-SPAIN,PRELIMINARY-N/C.America,1-3 (0-1),Panama (Panamá),El Salvador,Panamá.,1980
1982-SPAIN,PRELIMINARY-Europe,2-0 (2-0),Albania (Shqipëri),Finland (Suomi),Tiranë.,1980
1982-SPAIN,PRELIMINARY-Europe,1-2 (0-1),Iceland (Ísland),Soviet Union (СССР),Reykjavík.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-0 (0-0),Surinam (Suriname),Cuba,Paramaribo.,1980
1982-SPAIN,PRELIMINARY-Europe,2-1 (0-0),Ireland (Éire),Netherlands (Nederland),Dublin.,1980
1982-SPAIN,PRELIMINARY-Europe,4-0 (1-0),England,Norway (Norge),London.,1980
1982-SPAIN,PRELIMINARY-Europe,0-5 (0-0),Luxembourg (Lëtzebuerg),Yugoslavia (Југославија),Luxembourg.,1980
1982-SPAIN,PRELIMINARY-Europe,0-1 (0-0),Sweden (Sverige),Scotland,Stockholm.,1980
1982-SPAIN,PRELIMINARY-N/C.America,1-0 (0-0),Haiti (Haïti),Dutch Antilles (Nederlandse Antillen),Port-au-Prince.,1980
1982-SPAIN,PRELIMINARY-Europe,0-2 (0-1),Finland (Suomi),Austria (Österreich),Helsinki.,1980
1982-SPAIN,PRELIMINARY-Europe,1-3 (0-1),Turkey (Türkiye),Iceland (Ísland),İzmir.,1980
1982-SPAIN,PRELIMINARY-Europe,1-1 (1-1),Norway (Norge),Romania (România),Oslo.,1980
1982-SPAIN,PRELIMINARY-Europe,2-1 (2-1),Yugoslavia (Југославија),Denmark (Danmark),Ljubljana.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-1 (0-1),Guyana,Surinam (Suriname),Georgetown.,1980
1982-SPAIN,PRELIMINARY-N/C.America,2-3 (0-2),Costa Rica,Honduras,San_José.,1980
1982-SPAIN,PRELIMINARY-N/C.America,4-1 (2-1),El Salvador,Panama (Panamá),San_Salvador.,1980
1982-SPAIN,PRELIMINARY-Europe,0-7 (0-4),Cyprus (Κύπρος),France,Lemesós.,1980
1982-SPAIN,PRELIMINARY-Europe,0-2 (0-1),Luxembourg (Lëtzebuerg),Italy (Italia),Luxembourg.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-0 (0-0),Guatemala,Costa Rica,Guatemala.,1980
1982-SPAIN,PRELIMINARY-N/C.America,4-0 (2-0),Surinam (Suriname),Guyana,Paramaribo.,1980
1982-SPAIN,PRELIMINARY-Africa,2-0 (0-0),Cameroon (Cameroun),Zimbabwe,Douala.,1980
1982-SPAIN,PRELIMINARY-Europe,1-1 (1-1),Ireland (Éire),Belgium (België),Dublin.,1980
1982-SPAIN,PRELIMINARY-Europe,4-0 (2-0),Wales (Cymru),Turkey (Türkiye),Cardiff.,1980
1982-SPAIN,PRELIMINARY-Europe,5-0 (2-0),Soviet Union (СССР),Iceland (Ísland),Moskva.,1980
1982-SPAIN,PRELIMINARY-Europe,2-1 (1-0),Romania (România),England,Bucureşti.,1980
1982-SPAIN,PRELIMINARY-Europe,0-1 (0-0),Denmark (Danmark),Greece (Ελλάδα),København.,1980
1982-SPAIN,PRELIMINARY-Europe,3-0 (3-0),Northern Ireland (Ulster),Sweden (Sverige),Belfast.,1980
1982-SPAIN,PRELIMINARY-Europe,0-0 (0-0),Scotland,Portugal,Glasgow.,1980
1982-SPAIN,PRELIMINARY-N/C.America,1-1 (1-0),Canada,Mexico (México),Toronto.,1980
1982-SPAIN,PRELIMINARY-Europe,2-1 (1-0),Bulgaria (България),Albania (Shqipëri),Sofija.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-0 (0-0),USA,Canada,Fort Lauderdale.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-0 (0-0),Honduras,Guatemala,Tegucigalpa.,1980
1982-SPAIN,PRELIMINARY-N/C.America,2-0 (w.o.),El Salvador,Costa Rica,San_Salvador.,1980
1982-SPAIN,PRELIMINARY-Europe,2-0 (1-0),France,Ireland (Éire),Paris.,1980
1982-SPAIN,PRELIMINARY-Europe,1-2 (0-1),Switzerland (Schweiz / Suisse),Norway (Norge),Bern.,1980
1982-SPAIN,PRELIMINARY-Europe,2-0 (1-0),Italy (Italia),Denmark (Danmark),Roma.,1980
1982-SPAIN,PRELIMINARY-N/C.America,2-1 (2-0),Canada,USA,Vancouver.,1980
1982-SPAIN,PRELIMINARY-N/C.America,2-0 (1-0),Costa Rica,Panama (Panamá),San_José.,1980
1982-SPAIN,PRELIMINARY-N/C.America,5-1 (4-0),Mexico (México),USA,México D.F.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-0 (0-0),Guatemala,El Salvador,Guatemala.,1980
1982-SPAIN,PRELIMINARY-N/C.America,1-0 (1-0),Cuba,Guyana,La_Habana.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-0 (0-0),Trinidad and Tobago,Dutch Antilles (Nederlandse Antillen),Port_of_Spain.,1980
1982-SPAIN,PRELIMINARY-Europe,0-0 (0-0),Israel (ישראל),Sweden (Sverige),Tel Aviv.,1980
1982-SPAIN,PRELIMINARY-Europe,5-0 (3-0),Austria (Österreich),Albania (Shqipëri),Wien.,1980
1982-SPAIN,PRELIMINARY-Europe,2-0 (1-0),Italy (Italia),Yugoslavia (Југославија),Torino.,1980
1982-SPAIN,PRELIMINARY-N/C.America,1-1 (0-0),Mexico (México),Canada,México D.F.,1980
1982-SPAIN,PRELIMINARY-N/C.America,5-0 (2-0),Guatemala,Panama (Panamá),Guatemala.,1980
1982-SPAIN,PRELIMINARY-N/C.America,1-1 (0-1),Honduras,Costa Rica,Tegucigalpa.,1980
1982-SPAIN,PRELIMINARY-Africa,1-0 (1-0),Zimbabwe,Cameroon (Cameroun),Harare.,1980
1982-SPAIN,PRELIMINARY-Africa,2-0 (2-0),Morocco (المغرب),Zambia,Fez.,1980
1982-SPAIN,PRELIMINARY-Africa,1-1 (1-0),Madagascar (Madagasikara),Zaire (Zaïre),Antananarivo.,1980
1982-SPAIN,PRELIMINARY-Europe,1-0 (0-0),Belgium (België),Netherlands (Nederland),Bruxelles.,1980
1982-SPAIN,PRELIMINARY-Europe,6-0 (4-0),Ireland (Éire),Cyprus (Κύπρος),Dublin.,1980
1982-SPAIN,PRELIMINARY-Europe,1-0 (1-0),Wales (Cymru),Czechoslovakia (Československo),Cardiff.,1980
1982-SPAIN,PRELIMINARY-Europe,2-1 (2-0),England,Switzerland (Schweiz / Suisse),London.,1980
1982-SPAIN,PRELIMINARY-Europe,4-0 (2-0),Denmark (Danmark),Luxembourg (Lëtzebuerg),København.,1980
1982-SPAIN,PRELIMINARY-Europe,1-0 (0-0),Portugal,Northern Ireland (Ulster),Lisboa.,1980
1982-SPAIN,PRELIMINARY-N/C.America,2-1 (1-1),USA,Mexico (México),Fort Lauderdale.,1980
1982-SPAIN,PRELIMINARY-N/C.America,2-1 (1-0),El Salvador,Honduras,San_Salvador.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-3 (0-1),Costa Rica,Guatemala,San_José.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-0 (0-0),Dutch Antilles (Nederlandse Antillen),Trinidad and Tobago,Willemstad.,1980
1982-SPAIN,PRELIMINARY-N/C.America,2-0 (1-0),Honduras,El Salvador,Tegucigalpa.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-3 (0-3),Guyana,Cuba,Linden.,1980
1982-SPAIN,PRELIMINARY-Africa,2-0 (0-0) (p.k.),Zambia,Morocco (المغرب),Lusaka.,1980
1982-SPAIN,PRELIMINARY-Europe,1-3 (0-2),Bulgaria (България),FRG (BRD / Westdeutschland),Sofija.,1980
1982-SPAIN,PRELIMINARY-Europe,2-0 (2-0),Czechoslovakia (Československo),Turkey (Türkiye),Praha.,1980
1982-SPAIN,PRELIMINARY-Europe,0-1 (0-1),Albania (Shqipëri),Austria (Österreich),Tiranë.,1980
1982-SPAIN,PRELIMINARY-Europe,0-2 (0-1),Greece (Ελλάδα),Italy (Italia),Athína.,1980
1982-SPAIN,PRELIMINARY-Africa,1-1 (1-0),Nigeria,Tanzania,Lagos.,1980
1982-SPAIN,PRELIMINARY-Europe,0-2 (0-0),Malta,Poland (Polska),Valletta.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-1 (0-0),Guatemala,Honduras,Guatemala.,1980
1982-SPAIN,PRELIMINARY-Africa,0-0 (0-0),Liberia,Guinea (Guinée),Monrovia.,1980
1982-SPAIN,PRELIMINARY-N/C.America,0-0 (0-0),Costa Rica,El Salvador,San_José.,1980
1982-SPAIN,PRELIMINARY-N/C.America,1-1 (0-1),Dutch Antilles (Nederlandse Antillen),Haiti (Haïti),Willemstad.,1980
1982-SPAIN,PRELIMINARY-Africa,2-0 (2-0),Algeria (الجزائر),Sudan (السودان),Constantine.,1980
1982-SPAIN,PRELIMINARY-N/C.America,5-0 (3-0),Honduras,Panama (Panamá),Tegucigalpa.,1980
1982-SPAIN,PRELIMINARY-Africa,0-1 (0-0),Niger,Togo,Niamey.,1980
1982-SPAIN,PRELIMINARY-Europe,3-0 (2-0),Portugal,Israel (ישראל),Lisboa.,1980
1982-SPAIN,PRELIMINARY-Africa,0-2 (0-1),Tanzania,Nigeria,Dar es Salaam.,1980
1982-SPAIN,PRELIMINARY-Europe,0-2 (0-1),Cyprus (Κύπρος),Belgium (België),Levkosía.,1980
1982-SPAIN,PRELIMINARY-N/C.America,1-0 (0-0),El Salvador,Guatemala,San_Salvador.,1980
1982-SPAIN,PRELIMINARY-Africa,3-2 (2-2),Zaire (Zaïre),Madagascar (Madagasikara),Kinshasa.,1980
1982-SPAIN,PRELIMINARY-Africa,1-0 (1-0),Guinea (Guinée),Liberia,Conakry.,1980
1982-SPAIN,PRELIMINARY-As./O.,0-1 (0-0),Hong Kong (香港),China (中国),Hong Kong.,1980
1982-SPAIN,PRELIMINARY-As./O.,3-0 (2-0),North Korea (조선),Macao (澳门),Hong Kong.,1980
1982-SPAIN,PRELIMINARY-As./O.,0-1 (0-1),Singapore (新加坡),Japan (日本),Hong Kong.,1980
1982-SPAIN,PRELIMINARY-As./O.,3-0 (2-0),China (中国),Macao (澳门),Hong Kong.,1980
1982-SPAIN,PRELIMINARY-As./O.,1-1 (0-0),Hong Kong (香港),Singapore (新加坡),Hong Kong.,1980
1982-SPAIN,PRELIMINARY-As./O.,1-0 (1-0),China (中国),Japan (日本),Hong Kong.,1980
1982-SPAIN,PRELIMINARY-As./O.,0-1 (0-1),Singapore (新加坡),North Korea (조선),Hong Kong.,1980
1982-SPAIN,PRELIMINARY-Africa,1-1 (0-0),Sudan (السودان),Algeria (الجزائر),Khartoum.,1980
1982-SPAIN,PRELIMINARY-Africa,1-2 (0-0),Togo,Niger,Lomé.,1980
1982-SPAIN,PRELIMINARY-As./O.,3-0 (0-0),Japan (日本),Macao (澳门),Hong Kong.,1980
1982-SPAIN,PRELIMINARY-As./O.,2-2 (1-2),Hong Kong (香港),North Korea (조선),Hong Kong.,1980
1982-SPAIN,PRELIMINARY-As./O.,1-0 (0-0),North Korea (조선),Japan (日本),Hong Kong.,1980
1982-SPAIN,PRELIMINARY-As./O.,0-0 (0-0) (p.k.),Hong Kong (香港),China (中国),Hong Kong.,1980
1982-SPAIN,PRELIMINARY-As./O.,2-4 (2-2),North Korea (조선),China (中国),Hong Kong.,1981
1982-SPAIN,PRELIMINARY-Europe,2-0 (2-0),Greece (Ελλάδα),Luxembourg (Lëtzebuerg),Thessaloníkê.,1981
1982-SPAIN,PRELIMINARY-S.America,0-1 (0-0),Venezuela,Brazil (Brasil),Caracas.,1981
1982-SPAIN,PRELIMINARY-S.America,3-0 (1-0),Bolivia,Venezuela,La_Paz.,1981
1982-SPAIN,PRELIMINARY-Europe,3-2 (2-1),Belgium (België),Cyprus (Κύπρος),Bruxelles.,1981
1982-SPAIN,PRELIMINARY-Europe,3-0 (1-0),Netherlands (Nederland),Cyprus (Κύπρος),Groningen.,1981
1982-SPAIN,PRELIMINARY-S.America,1-2 (1-1),Bolivia,Brazil (Brasil),La_Paz.,1981
1982-SPAIN,PRELIMINARY-Europe,0-1 (0-0),Israel (ישראל),Scotland,Tel Aviv.,1981
1982-SPAIN,PRELIMINARY-Europe,0-2 (0-1),Luxembourg (Lëtzebuerg),Greece (Ελλάδα),Luxembourg.,1981
1982-SPAIN,PRELIMINARY-S.America,1-0 (1-0),Venezuela,Bolivia,Caracas.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-1 (0-0),Qatar (قطر),Iraq (العراق),Riyadh.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-1 (0-0),Syria (سوريا),Bahrain (البحرين),Riyadh.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-1 (0-0),Iraq (العراق),Saudi Arabia (العربية السعودية),Riyadh.,1981
1982-SPAIN,PRELIMINARY-S.America,3-1 (1-0),Brazil (Brasil),Bolivia,Rio de Janeiro.,1981
1982-SPAIN,PRELIMINARY-As./O.,3-0 (2-0),Qatar (قطر),Bahrain (البحرين),Riyadh.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-2 (0-0),Syria (سوريا),Saudi Arabia (العربية السعودية),Riyadh.,1981
1982-SPAIN,PRELIMINARY-Europe,1-0 (0-0),Netherlands (Nederland),France,Rotterdam.,1981
1982-SPAIN,PRELIMINARY-Europe,1-0 (0-0),Belgium (België),Ireland (Éire),Bruxelles.,1981
1982-SPAIN,PRELIMINARY-Europe,0-1 (0-0),Turkey (Türkiye),Wales (Cymru),Ankara.,1981
1982-SPAIN,PRELIMINARY-Europe,1-1 (0-0),Scotland,Northern Ireland (Ulster),Glasgow.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-0 (1-0),Iraq (العراق),Bahrain (البحرين),Riyadh.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-1 (1-1),Qatar (قطر),Syria (سوريا),Riyadh.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-1 (0-0),Bahrain (البحرين),Saudi Arabia (العربية السعودية),Riyadh.,1981
1982-SPAIN,PRELIMINARY-S.America,5-0 (1-0),Brazil (Brasil),Venezuela,Goiânia.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-1 (1-0),Iraq (العراق),Syria (سوريا),Riyadh.,1981
1982-SPAIN,PRELIMINARY-As./O.,0-1 (0-0),Qatar (قطر),Saudi Arabia (العربية السعودية),Riyadh.,1981
1982-SPAIN,PRELIMINARY-Europe,0-2 (0-1),Albania (Shqipëri),FRG (BRD / Westdeutschland),Tiranë.,1981
1982-SPAIN,PRELIMINARY-Europe,1-2 (1-2),Malta,GDR (DDR / Ostdeutschland),Valletta.,1981
1982-SPAIN,PRELIMINARY-Africa,1-1 (0-1),Guinea (Guinée),Nigeria,Conakry.,1981
1982-SPAIN,PRELIMINARY-Africa,1-0 (1-0),Zaire (Zaïre),Cameroon (Cameroun),Kinshasa.,1981
1982-SPAIN,PRELIMINARY-Europe,0-3 (0-0),Turkey (Türkiye),Czechoslovakia (Československo),İstanbul.,1981
1982-SPAIN,PRELIMINARY-As./O.,2-1 (1-1),South Korea (한국),Malaysia (مليسيا),Kuwait.,1981
1982-SPAIN,PRELIMINARY-As./O.,6-0 (4-0),Kuwait (الكويت),Thailand (ประเทศไทย),Kuwait.,1981
